day,ration
1,1.15144851657941
2,0.399232111692845
3,0.917556719022687
4,1.02457242582897
5,1.21680628272251
6,1.62657940663176
7,1.50092495636998
8,1.65013961605585
9,1.61479930191972
10,1.69333333333333
11,1.69333333333333
12,1.69333333333333
13,1.69333333333333
14,1.69333333333333
15,1.69333333333333
16,1.69333333333333
17,1.69333333333333
18,1.69333333333333
19,1.69333333333333
20,1.69333333333333
21,1.69333333333333
22,1.69333333333333
23,1.69333333333333
24,1.69333333333333
25,1.69333333333333
26,1.69333333333333
27,1.69333333333333
28,1.69333333333333
29,1.69333333333333
30,1.69333333333333
31,1.69333333333333
32,1.69333333333333
33,1.69333333333333
34,1.69333333333333
35,1.69333333333333
36,1.69333333333333
37,1.69333333333333
38,1.69333333333333
39,1.69333333333333
40,1.69333333333333
41,1.69333333333333
42,1.69333333333333
43,1.69333333333333
44,1.69333333333333
45,1.69333333333333
46,1.69333333333333
47,1.69333333333333
48,1.69333333333333
49,1.69333333333333
50,1.69333333333333
51,1.69333333333333
52,1.69333333333333
53,1.69333333333333
54,1.69333333333333
55,1.69333333333333
56,1.69333333333333
57,1.69333333333333
58,1.69333333333333
59,0
60,0
